pedido_id,data_pedido,estado_cliente,categoria_produto,valor_pedido,prazo_prometido_dias,tempo_entrega_real_dias,atrasado,nota_avaliacao
1,2026-03-24,PE,Livros,91.69,16,18,True,4
2,2026-05-10,SP,Móveis,92.58,9,11,True,4
3,2026-05-25,SP,Beleza e Cuidados Pessoais,830.89,9,9,False,4
4,2026-01-12,MG,Roupas e Acessórios,594.01,10,10,False,5
5,2026-01-27,MG,Beleza e Cuidados Pessoais,444.61,10,10,False,5
6,2026-05-17,RJ,Esporte e Lazer,607.69,10,9,False,5
7,2026-03-04,SP,Casa e Decoração,103.93,9,7,False,5
8,2026-05-12,RJ,Esporte e Lazer,494.25,9,9,False,5
9,2026-03-22,SP,Esporte e Lazer,262.3,9,8,False,4
10,2026-06-28,RS,Eletrônicos,274.1,13,11,False,5
11,2026-04-09,DF,Esporte e Lazer,220.66,12,12,False,5
12,2026-03-15,SP,Beleza e Cuidados Pessoais,487.3,9,8,False,4
13,2026-02-05,SC,Eletrodomésticos,230.75,12,11,False,5
14,2026-01-22,SP,Beleza e Cuidados Pessoais,48.3,9,12,True,3
15,2026-04-18,MG,Papelaria,572.25,10,8,False,5
16,2026-01-14,RJ,Eletrodomésticos,198.44,10,10,False,4
17,2026-02-23,RJ,Móveis,476.98,9,10,True,4
18,2026-04-04,MG,Móveis,529.83,11,11,False,5
19,2026-05-02,SP,Brinquedos,648.49,10,9,False,4
20,2026-03-09,RJ,Roupas e Acessórios,780.89,10,8,False,5
21,2026-05-16,SP,Móveis,224.35,9,8,False,5
22,2026-05-19,SC,Esporte e Lazer,640.6,12,12,False,5
23,2026-02-28,SP,Brinquedos,425.15,9,10,True,5
24,2026-02-19,RS,Esporte e Lazer,222.47,13,12,False,5
25,2026-02-28,RJ,Esporte e Lazer,570.65,9,7,False,5
26,2026-06-14,SP,Móveis,680.25,10,10,False,4
27,2026-03-27,SP,Livros,147.27,9,9,False,4
28,2026-02-08,MG,Brinquedos,327.08,11,9,False,5
29,2026-05-21,MG,Eletrônicos,157.1,9,7,False,4
30,2026-02-19,BA,Beleza e Cuidados Pessoais,307.42,13,17,True,3
31,2026-05-20,RJ,Roupas e Acessórios,460.99,9,8,False,5
32,2026-05-09,SP,Roupas e Acessórios,534.89,9,17,True,1
33,2026-02-08,SP,Brinquedos,492.13,9,9,False,4
34,2026-01-28,DF,Eletrônicos,656.79,12,12,False,5
35,2026-01-17,RJ,Papelaria,474.29,11,11,False,5
36,2026-05-03,MG,Beleza e Cuidados Pessoais,208.08,11,10,False,5
37,2026-04-25,SP,Móveis,583.93,9,7,False,4
38,2026-02-01,DF,Roupas e Acessórios,823.87,13,12,False,5
39,2026-02-26,PR,Móveis,392.38,11,9,False,4
40,2026-05-12,RJ,Livros,414.23,9,7,False,4
41,2026-06-30,SP,Esporte e Lazer,228.99,9,9,False,5
42,2026-01-27,SP,Casa e Decoração,728.92,8,7,False,5
43,2026-06-23,SC,Casa e Decoração,117.02,12,10,False,5
44,2026-01-15,SC,Roupas e Acessórios,690.31,12,13,True,5
45,2026-01-22,MG,Beleza e Cuidados Pessoais,381.3,9,8,False,5
46,2026-03-10,RS,Eletrônicos,190.82,13,13,False,5
47,2026-03-21,RS,Eletrodomésticos,691.96,14,12,False,4
48,2026-03-06,SP,Eletrônicos,404.88,9,9,False,4
49,2026-06-18,SC,Livros,218.22,13,12,False,5
50,2026-02-28,SP,Roupas e Acessórios,548.49,9,9,False,4
51,2026-03-07,RJ,Eletrônicos,239.98,9,7,False,4
52,2026-03-17,SP,Roupas e Acessórios,837.85,8,7,False,4
53,2026-03-24,SP,Casa e Decoração,449.73,8,7,False,4
54,2026-02-21,SP,Eletrônicos,63.11,8,8,False,4
55,2026-03-19,RS,Móveis,752.67,13,13,False,5
56,2026-04-10,PR,Brinquedos,620.58,11,9,False,4
57,2026-05-12,RS,Eletrodomésticos,57.94,12,10,False,5
58,2026-06-25,MG,Beleza e Cuidados Pessoais,348.18,9,15,True,2
59,2026-04-26,MG,Eletrônicos,101.44,10,9,False,4
60,2026-05-09,DF,Móveis,104.93,13,21,True,1
61,2026-03-09,SP,Beleza e Cuidados Pessoais,430.6,8,7,False,4
62,2026-06-25,SP,Eletrônicos,569.49,9,9,False,4
63,2026-06-27,SP,Papelaria,602.21,8,7,False,4
64,2026-06-22,RJ,Eletrodomésticos,295.9,9,9,False,5
65,2026-01-22,GO,Eletrônicos,356.41,12,20,True,1
66,2026-02-23,SP,Móveis,454.54,8,7,False,4
67,2026-01-29,PR,Beleza e Cuidados Pessoais,440.82,11,10,False,4
68,2026-04-26,RJ,Roupas e Acessórios,649.34,10,10,False,4
69,2026-04-12,SP,Beleza e Cuidados Pessoais,359.08,9,8,False,4
70,2026-05-31,SP,Livros,274.93,10,9,False,4
71,2026-02-08,SP,Casa e Decoração,68.35,9,8,False,5
72,2026-06-11,RJ,Eletrodomésticos,540.01,10,10,False,5
73,2026-02-05,RS,Casa e Decoração,321.65,13,11,False,4
74,2026-03-18,SP,Casa e Decoração,179.7,9,8,False,4
75,2026-02-11,SP,Eletrodomésticos,656.19,10,10,False,4
76,2026-04-20,SP,Beleza e Cuidados Pessoais,252.98,8,6,False,4
77,2026-05-26,SP,Eletrônicos,262.54,9,8,False,4
78,2026-01-16,RJ,Papelaria,728.15,11,9,False,5
79,2026-01-24,SP,Beleza e Cuidados Pessoais,747.68,9,8,False,5
80,2026-01-06,SP,Livros,103.88,9,8,False,5
81,2026-05-16,BA,Brinquedos,827.37,14,17,True,3
82,2026-01-28,PE,Brinquedos,785.54,15,15,False,5
83,2026-06-15,PR,Roupas e Acessórios,101.63,12,11,False,4
84,2026-05-15,PE,Beleza e Cuidados Pessoais,287.72,15,16,True,4
85,2026-04-28,SP,Esporte e Lazer,68.57,9,8,False,5
86,2026-04-16,PR,Casa e Decoração,228.41,11,9,False,4
87,2026-04-19,GO,Beleza e Cuidados Pessoais,204.45,13,11,False,5
88,2026-03-16,PR,Eletrodomésticos,230.8,11,11,False,5
89,2026-02-26,SP,Casa e Decoração,380.71,8,6,False,4
90,2026-06-20,SP,Papelaria,379.38,8,8,False,4
91,2026-01-16,SP,Brinquedos,178.34,10,8,False,4
92,2026-02-18,SP,Eletrodomésticos,837.91,9,16,True,1
93,2026-04-24,SP,Eletrônicos,144.59,8,15,True,1
94,2026-02-23,RJ,Casa e Decoração,480.93,10,10,False,4
95,2026-04-25,SP,Esporte e Lazer,662.17,9,7,False,5
96,2026-01-11,RJ,Brinquedos,532.52,9,8,False,4
97,2026-04-03,SP,Papelaria,48.04,8,6,False,4
98,2026-06-02,GO,Móveis,669.97,12,11,False,5
99,2026-03-06,GO,Brinquedos,707.32,12,12,False,5
100,2026-02-08,MG,Esporte e Lazer,651.07,11,9,False,4
101,2026-03-05,RJ,Eletrônicos,840.2,10,10,False,5
102,2026-03-09,RS,Beleza e Cuidados Pessoais,152.01,12,10,False,5
103,2026-04-28,RS,Beleza e Cuidados Pessoais,281.61,13,11,False,5
104,2026-03-13,MG,Esporte e Lazer,168.42,10,9,False,4
105,2026-05-29,SP,Móveis,125.94,9,7,False,5
106,2026-04-29,CE,Móveis,77.49,15,15,False,5
107,2026-03-17,SP,Eletrônicos,457.7,8,6,False,4
